cid	enzyme	reaction	nMetabInESP	pred_ESP
854026	At_72B1	0	0	0.008864779
854026	At_72E2	0	0	0.025888538
854026	Mt_71G1	0	0	0.056167204
854026	Mt_78G1	0	0	0.11916557
5912039	Fe_88J1	0	0	0.0105355065
5912039	Zm_15991	0	0	0.01865742
5912039	Fe_72B19	0	0	0.008290046
5912039	Ct_71E5	0	0	0.0179405
5912039	Zm_51683	0	0	0.028575365
5912039	Os_88C1	0	0	0.048081502
5912039	Zm_43295	0	0	0.025433559
5912039	Dc_71F5	0	0	0.13470636
5912039	Rc_GT1	0	0	0.024352282
5912039	Sl_GT5	0	0	0.1602408
5912039	Fi_88A10	0	0	0.03971012
5912039	At_71D1	0	0	0.023944644
5912039	At_71C1	0	0	0.04585286
5912039	Zm_62783	0	0	0.2306842
5912039	Zm_85854	0	0	0.020732839
5912039	Gm_88E3	0	0	0.04449086
5912039	Zm_72068	0	0	0.10840533
5912039	Lc_72B10	0	0	0.1271776
155240	Nt_UGT1	0	0	0.0114489095
155240	Pt_UGT1	0	0	0.06654154
155240	At_72B1	0	0	0.044405676
155240	At_72E2	0	0	0.03276065
155240	Mt_71G1	0	0	0.025866626
155240	Mt_78G1	0	0	0.038163964
11876195	Nt_UGT1	0	0	0.043626823
11876195	Pt_UGT1	0	0	0.08398315
11876195	At_72B1	0	0	0.03550812
11876195	At_72E2	0	0	0.07931269
11876195	Mt_71G1	0	0	0.22520012
11876195	Mt_78G1	0	0	0.12946606
23581946	Nt_UGT1	0	0	0.027966361
23581946	Pt_UGT1	0	0	0.040710118
23581946	At_72B1	0	0	0.039554846
23581946	At_72E2	0	0	0.024449714
23581946	Mt_71G1	0	0	0.026253983
23581946	Mt_78G1	0	0	0.003288414
5281654	UGT71L2	0	0	0.02635664
99514	Nt_UGT1	0	0	0.001145149
99514	Pt_UGT1	0	0	0.02804801
99514	At_72B1	0	0	0.033048388
99514	At_72E2	0	0	0.039494447
99514	Mt_71G1	0	0	0.08732186
99514	Mt_78G1	0	0	0.024558181
5280863	TwUGT2	0	0	0.00027405567
5280863	ApUFGT1	1	0	0.0017067726
5280863	ApUFGT2	1	0	6.3640364e-05
5280863	ApUFGT3	1	0	0.00030938725
5280863	UGT73A17	1	0	0.00064293056
16666	Nt_UGT1	0	1	0.0044703125
16666	Pt_UGT1	0	1	0.008477604
16666	At_72B1	0	1	0.009880476
16666	At_72E2	0	1	0.010214125
16666	Mt_71G1	0	1	0.036415514
16666	Mt_78G1	0	1	0.015426704
439378	Nt_UGT1	0	0	0.01038503
439378	Pt_UGT1	0	0	0.00678899
439378	At_72B1	0	0	0.0154033275
439378	At_72E2	0	0	0.015870009
439378	Mt_71G1	0	0	0.07261424
439378	Mt_78G1	0	0	0.026297672
6047	Nt_UGT1	0	8	0.0043723905
