enzyme	source	reaction	cid
UGT73A10	GT-Predict extensions	0	637541
UGT74N1	GT-Predict extensions	0	637541
UGT75L2	GT-Predict extensions	1	637541
UGT85A20	GT-Predict extensions	0	637541
UGT73Q1	GT-Predict extensions	0	637541
UGT73A12	GT-Predict extensions	1	637541
UGT86A5	GT-Predict extensions	0	637541
UGT94E2	GT-Predict extensions	0	637541
UGT84C2	GT-Predict extensions	1	637541
UGT85B2	GT-Predict extensions	0	637541
UGT74H5	GT-Predict extensions	0	637541
UGT88C4	GT-Predict extensions	0	637541
UGT74H6	GT-Predict extensions	0	637541
UGT75E3	GT-Predict extensions	0	637541
UGT71L2	https://doi.org/10.1093/jxb/eraa562	0	102
OleD	GT-Predict extensions	0	637541
OleD	GT-Predict extensions	0	689043
UGT72AY1	https://doi.org/10.1104/pp.20.00953	0	91749226
UGT73A24	https://doi.org/10.1104/pp.20.00953	0	91749226
UGT85A73	https://doi.org/10.1104/pp.20.00953	1	91749226
UGT72AY1	https://doi.org/10.1104/pp.20.00953	1	14565843
UGT73A24	https://doi.org/10.1104/pp.20.00953	1	14565843
UGT73A25	https://doi.org/10.1104/pp.20.00953	1	14565843
UGT73A24	https://doi.org/10.1104/pp.20.00953	1	10176665
UGT73A25	https://doi.org/10.1104/pp.20.00953	1	10176665
UGT71L2	https://doi.org/10.1093/jxb/eraa562	0	125
At_71C1	GT-Predict	0	5280567
At_71C3	GT-Predict	0	5280567
At_71C4	GT-Predict	0	5280567
At_71C5	GT-Predict	1	5280567
At_71B8	GT-Predict	0	5280567
At_71B5	GT-Predict	0	5280567
At_71B1	GT-Predict	1	5280567
At_88A1	GT-Predict	1	5280567
At_72E2	GT-Predict	0	5280567
At_72E3	GT-Predict	0	5280567
At_72E1	GT-Predict	0	5280567
At_72D1	GT-Predict	1	5280567
At_72C1	GT-Predict	0	5280567
At_72B3	GT-Predict	1	5280567
At_72B1	GT-Predict	1	5280567
At_73C3	GT-Predict	1	5280567
At_73C4	GT-Predict	0	5280567
At_73C5	GT-Predict	1	5280567
At_73C6	GT-Predict	1	5280567
At_73C1	GT-Predict	1	5280567
At_73C7	GT-Predict	0	5280567
At_73B2	GT-Predict	0	5280567
At_73B3	GT-Predict	1	5280567
At_73B4	GT-Predict	1	5280567
At_73B5	GT-Predict	0	5280567
At_73B1	GT-Predict	1	5280567
At_89B1	GT-Predict	0	5280567
At_89C1	GT-Predict	0	5280567
At_84A3	GT-Predict	1	5280567
At_84A4	GT-Predict	0	5280567
At_84A2	GT-Predict	1	5280567
At_84A1	GT-Predict	1	5280567
At_84B1	GT-Predict	1	5280567
At_84B2	GT-Predict	0	5280567
At_75B1	GT-Predict	1	5280567
At_75D1	GT-Predict	0	5280567
At_74F1	GT-Predict	0	5280567
At_74F2	GT-Predict	1	5280567
At_76E5	GT-Predict	0	5280567
At_76E4	GT-Predict	0	5280567
At_76E1	GT-Predict	0	5280567
At_76E12	GT-Predict	1	5280567
At_76E11	GT-Predict	1	5280567
At_76C4	GT-Predict	0	5280567
At_85A5	GT-Predict	0	5280567
At_85A4	GT-Predict	0	5280567
At_78D2	GT-Predict	1	5280567
At_78D1	GT-Predict	0	5280567
VVGT1	GT-Predict	1	5280567
UGT71G1	GT-Predict extensions	0	5280567
UGT78G1	GT-Predict extensions	0	5280567
UGT72B10	GT-Predict extensions	0	5280567
UGT74P1	GT-Predict extensions	0	5280567
UGT73A10	GT-Predict extensions	0	5280567
UGT74N1	GT-Predict extensions	1	5280567
UGT75L2	GT-Predict extensions	0	5280567
UGT85A20	GT-Predict extensions	0	5280567
UGT73Q1	GT-Predict extensions	0	5280567
UGT73A12	GT-Predict extensions	0	5280567
UGT86A5	GT-Predict extensions	0	5280567
UGT94E2	GT-Predict extensions	0	5280567
UGT84C2	GT-Predict extensions	1	5280567
UGT85B2	GT-Predict extensions	0	5280567
UGT74H5	GT-Predict extensions	1	5280567
UGT88C4	GT-Predict extensions	1	5280567
UGT74H6	GT-Predict extensions	1	5280567
UGT75E3	GT-Predict extensions	1	5280567
TwUGT2	https://doi.org/10.1080/10286020.2019.1642330	0	5280567
ApUFGT1	https://doi.org/10.1098/rsos.190150	1	5280567
ApUFGT2	https://doi.org/10.1098/rsos.190150	1	5280567
ApUFGT3	https://doi.org/10.1098/rsos.190150	1	5280567
At_71C1	GT-Predict	0	980
At_71C3	GT-Predict	0	980
At_71C4	GT-Predict	0	980
At_71C5	GT-Predict	0	980
At_71B8	GT-Predict	0	980
