cid	enzyme	Yield
6293081	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	19
4534	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
13846689	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
176096	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	2
5317284	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	30
5320053	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	4
5321775	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	16
155011	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	53
5379096	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	53
5280633	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
5464170	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	22
5281718	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
