cid	MolecularWeight	smiles	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	AtomStereoCount	BondStereoCount
7043	138.16	COC1=CC=CC=C1OC	18.5	81	0	0	2	2	10	0	0
7172	167.20	CNCC(C1=CC=C(C=C1)O)O	52.5	122	0	3	3	3	12	1	0
72	154.12	C1=CC(=C(C=C1C(=O)O)O)O	77.8	157	0	3	4	1	11	0	0
72276	290.27	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	110	364	0	5	6	1	21	2	0
72303	266.3	C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C	40.5	325	0	2	2	5	20	0	0
7257	162.01	C1=CC(=C(C=C1N)Cl)Cl	26	97	0	1	1	0	9	0	0
72936	424.5	CC(=CCC(CC1=C2C(=C(C=C1O)O)C(=O)CC(O2)C3=C(C=C(C=C3)O)O)C(=C)C)C	107	684	0	4	6	6	31	2	0
73399	358.4	COC1=C(C=CC(=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)O)OC)O	77.4	431	0	2	6	4	26	4	0
73412	504.7	CC1CCC2(CCC3(C(=CCC4C3(CC(C5C4(CC(C(C5(C)CO)O)O)C)O)C)C2C1C)C)C(=O)O	118	963	0	5	6	2	36	13	0
77093	230.22	C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2O)O)O	77.8	261	0	3	4	2	17	0	0
79064	390.34	CC(=O)OCC1C(C(C(C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C	141	599	0	0	11	11	27	5	0
79964	179.07	C1=CC(=C(C=C1S)Cl)Cl	1	97	0	1	1	0	9	0	0
802	175.18	C1=CC=C2C(=C1)C(=CN2)CC(=O)O	53.1	205	0	2	2	2	13	0	0
8434	166.17	CCOC(=O)C1=CC=C(C=C1)O	46.5	148	0	1	3	3	12	0	0
854026	242.32	CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3	55.1	551	0	2	2	0	18	2	1
8629	566.30	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	292	964	0	9	17	9	36	9	0
8635	151.16	COC(=O)C1=CC=CC=C1N	52.3	147	0	1	3	2	11	0	0
90120509	222.28	COCC(C(C(COC)OC)OC)OC	46.2	128	0	0	5	9	15	2	0
9064	290.27	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	110	364	0	5	6	1	21	2	0
90657995	304.25	C1C(=O)C2=C(C=C(C=C2OC1(C3=CC(=C(C=C3)O)O)O)O)O	127	442	0	5	7	1	22	1	0
92109	332.4	CC12C(CCC3(C1C(C45C3CCC(C4)C(=C)C5)C(=O)O)OC2=O)O	83.8	685	0	2	5	1	24	8	0
92180	203.24	CC(=CCNC1=NC=NC2=C1NC=N2)C	66.5	236	0	2	4	3	15	0	0
931	128.17	C1=CC=C2C=CC=CC2=C1	0	80	0	0	0	0	10	0	0
932	272.25	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O	87	363	0	3	5	1	20	1	0
9883304	314.25	CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=CC(=C3)O)O	132	545	0	4	7	1	23	0	0
99514	318.4	CC12CCC3C4(CCCC(C4CCC3(C1)CC2=O)(C)C(=O)O)C	54.4	583	0	1	3	1	23	6	0
