smiles	fromCID	replacement
O=c1cc(-c2ccccc2)oc2ccccc12	5280445	H
O=c1cc(-c2ccccc2)oc2cccc(F)c12	5280445	F
O=c1cc(-c2cccc(Cl)c2)oc2ccccc12	5280445	Cl
COc1ccc2c(=O)cc(-c3ccccc3)oc2c1	5280445	OMe
CC(=O)Oc1ccc(-c2cc(=O)c3ccccc3o2)cc1	5280445	OAc
COc1ccc2oc(=O)ccc2c1	5280460	H
COc1cc2ccc(=O)oc2cc1F	5280460	F
COc1cc2ccc(=O)oc2cc1Cl	5280460	Cl
COc1cc2ccc(=O)oc2cc1OC	5280460	OMe
COc1cc2ccc(=O)oc2cc1OC(C)=O	5280460	OAc
Cc1cc(=O)oc2ccccc12	5280567	H
Cc1cc(=O)oc2cc(F)ccc12	5280567	F
Cc1cc(=O)oc2cc(Cl)ccc12	5280567	Cl
COc1ccc2c(C)cc(=O)oc2c1	5280567	OMe
CC(=O)Oc1ccc2c(C)cc(=O)oc2c1	5280567	OAc
O=c1cc(-c2ccccc2)oc2ccccc12	5280863	H
O=c1cc(-c2ccccc2)oc2cccc(F)c12	5280863	F
O=c1cc(-c2ccccc2)oc2cc(Cl)ccc12	5280863	Cl
COc1ccc(-c2cc(=O)c3ccccc3o2)cc1	5280863	OMe
CC(=O)Oc1ccc(-c2cc(=O)c3ccccc3o2)cc1	5280863	OAc
COC(=O)C=C(C)C=CC1C(C)=CC(=O)CC1(C)C	5280896	H
COC(=O)C=C(C)C=CC1(F)C(C)=CC(=O)CC1(C)C	5280896	F
COC(=O)C=C(C)C=CC1(Cl)C(C)=CC(=O)CC1(C)C	5280896	Cl
COC(=O)C=C(C)C=CC1(OC)C(C)=CC(=O)CC1(C)C	5280896	OMe
COC(=O)C=C(C)C=CC1(OC(C)=O)C(C)=CC(=O)CC1(C)C	5280896	OAc
O=c1c(-c2ccccc2)coc2ccccc12	5280961	H
O=c1c(-c2ccc(F)cc2)coc2ccccc12	5280961	F
O=c1c(-c2ccccc2)coc2cc(Cl)ccc12	5280961	Cl
COc1cccc2occ(-c3ccccc3)c(=O)c12	5280961	OMe
CC(=O)Oc1cccc2occ(-c3ccccc3)c(=O)c12	5280961	OAc
O=c1ccc2ccccc2o1	5281416	H
O=c1ccc2cc(F)ccc2o1	5281416	F
O=c1ccc2ccc(Cl)cc2o1	5281416	Cl
COc1ccc2oc(=O)ccc2c1	5281416	OMe
CC(=O)Oc1ccc2ccc(=O)oc2c1	5281416	OAc
O=c1ccc2ccccc2o1	5281426	H
O=c1ccc2ccc(F)cc2o1	5281426	F
O=c1ccc2ccc(Cl)cc2o1	5281426	Cl
COc1ccc2ccc(=O)oc2c1	5281426	OMe
CC(=O)Oc1ccc2ccc(=O)oc2c1	5281426	OAc
O=c1cc(-c2ccccc2)oc2ccccc12	5281605	H
O=c1cc(-c2ccccc2)oc2ccc(F)cc12	5281605	F
O=c1cc(-c2ccccc2)oc2ccc(Cl)cc12	5281605	Cl
COc1ccc2c(=O)cc(-c3ccccc3)oc2c1	5281605	OMe
CC(=O)Oc1ccc2oc(-c3ccccc3)cc(=O)c2c1	5281605	OAc
O=c1cc(-c2ccccc2)oc2ccccc12	5281607	H
O=c1cc(-c2ccccc2)oc2cccc(F)c12	5281607	F
O=c1cc(-c2ccccc2)oc2cc(Cl)ccc12	5281607	Cl
COc1cccc2oc(-c3ccccc3)cc(=O)c12	5281607	OMe
CC(=O)Oc1ccc2c(=O)cc(-c3ccccc3)oc2c1	5281607	OAc
O=c1cc(-c2ccccc2)oc2ccccc12	5281614	H
O=c1c(F)c(-c2ccccc2)oc2ccccc12	5281614	F
O=c1c(Cl)c(-c2ccccc2)oc2ccccc12	5281614	Cl
COc1ccc2c(=O)cc(-c3ccccc3)oc2c1	5281614	OMe
CC(=O)Oc1ccc2c(=O)cc(-c3ccccc3)oc2c1	5281614	OAc
O=c1c2ccccc2oc2ccccc12	5281656	H
O=c1c2ccccc2oc2cc(F)ccc12	5281656	F
O=c1c2ccccc2oc2cc(Cl)ccc12	5281656	Cl
COc1ccc2oc3ccccc3c(=O)c2c1	5281656	OMe
CC(=O)Oc1ccc2c(=O)c3ccccc3oc2c1	5281656	OAc
O=c1cc(-c2ccccc2)oc2ccccc12	5281672	H
O=c1cc(-c2ccc(F)cc2)oc2ccccc12	5281672	F
O=c1cc(-c2ccccc2)oc2cccc(Cl)c12	5281672	Cl
COc1ccc(-c2cc(=O)c3ccccc3o2)cc1	5281672	OMe
CC(=O)Oc1c(-c2ccccc2)oc2ccccc2c1=O	5281672	OAc
O=c1cc(-c2ccccc2)oc2ccccc12	5281701	H
O=c1cc(-c2ccccc2)oc2cccc(F)c12	5281701	F
O=c1cc(-c2ccc(Cl)cc2)oc2ccccc12	5281701	Cl
COc1ccc2c(=O)cc(-c3ccccc3)oc2c1	5281701	OMe
CC(=O)Oc1ccc2c(=O)cc(-c3ccccc3)oc2c1	5281701	OAc
COc1cccc2c(=O)cc(-c3ccccc3)oc12	5281703	H
COc1ccc(F)c2c(=O)cc(-c3ccccc3)oc12	5281703	F
COc1c(Cl)ccc2c(=O)cc(-c3ccccc3)oc12	5281703	Cl
COc1ccc2c(=O)cc(-c3ccccc3)oc2c1OC	5281703	OMe
COc1c(OC(C)=O)ccc2c(=O)cc(-c3ccccc3)oc12	5281703	OAc
O=c1c(-c2ccccc2)coc2ccccc12	5281708	H
O=c1c(-c2ccc(F)cc2)coc2ccccc12	5281708	F
O=c1c(-c2ccccc2)coc2cc(Cl)ccc12	5281708	Cl
COc1ccc2c(=O)c(-c3ccccc3)coc2c1	5281708	OMe
CC(=O)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1	5281708	OAc
COc1ccc2oc(-c3ccccc3)cc(=O)c2c1	5320315	H
COc1cc2c(=O)cc(-c3ccccc3)oc2cc1F	5320315	F
COc1cc2c(=O)cc(-c3ccccc3)oc2cc1Cl	5320315	Cl
COc1ccc2oc(-c3ccccc3)cc(=O)c2c1OC	5320315	OMe
COc1ccc2oc(-c3ccccc3)cc(=O)c2c1OC(C)=O	5320315	OAc
CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCC)COC1CCCC(C)O1	5327038	H
CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCC)COC1OC(C)CCC1F	5327038	F
CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCC)COC1CC(Cl)CC(C)O1	5327038	Cl
CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCC)COC1CCC(OC)C(C)O1	5327038	OMe
CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCC)COC1CC(OC(C)=O)CC(C)O1	5327038	OAc
COC(=O)c1cc2ccccc2oc1=O	5337757	H
COC(=O)c1cc2ccc(F)cc2oc1=O	5337757	F
COC(=O)c1cc2ccc(Cl)cc2oc1=O	5337757	Cl
COC(=O)c1cc2ccc(OC)cc2oc1=O	5337757	OMe
COC(=O)c1cc2ccc(OC(C)=O)cc2oc1=O	5337757	OAc
COC(=O)Cc1cc(=O)oc2ccccc12	5338490	H
COC(=O)Cc1cc(=O)oc2cc(F)ccc12	5338490	F
COC(=O)Cc1cc(=O)oc2cc(Cl)ccc12	5338490	Cl
COC(=O)Cc1cc(=O)oc2cc(OC)ccc12	5338490	OMe
COC(=O)Cc1cc(=O)oc2cc(OC(C)=O)ccc12	5338490	OAc
